"Target Host","Date (UTC)","MSF Module","LocalHost","Listening Port","Successful Logs","Failure Logs","All Logs"
"130.245.135.19","2019-07-10_22h01m51s","auxiliary/fuzzers/dns/dns_fuzzer","4444","default","","[-] 130.245.135.19:53     - 130.245.135.19:53 - DNS - The remote server is not responding to DNS requests.","[*] Processing /root/INTERNAL/Scripts/AutoSploit/autosploit_out/2019-07-10_22h01m51s/130.245.135.19/auxiliary-fuzzers-dns-dns_fuzzer for ERB directives.
[*] Workspace '192.168.1.144' already existed, switching to it.
[*] Workspace: 192.168.1.144
[-] 130.245.135.19:53     - 130.245.135.19:53 - DNS - The remote server is not responding to DNS requests.
[*] 130.245.135.19:53     - Scanned 1 of 1 hosts (100% complete)
[*] Auxiliary module execution completed
[*] Starting persistent handler(s)..."
"130.245.135.19","2019-07-10_22h01m51s","auxiliary/fuzzers/ftp/client_ftp","4444","default","","[-] Auxiliary failed: NoMethodError undefined method `match' for {:check_empty=>false}:Hash
[-] Call stack:
[-]   /usr/share/metasploit-framework/lib/msf/core/opt_base.rb:118:in `valid?'
[-]   /usr/share/metasploit-framework/lib/msf/core/opt_string.rb:34:in `valid?'
[-]   /usr/share/metasploit-framework/lib/msf/core/option_container.rb:200:in `block in validate'
[-]   /usr/share/metasploit-framework/lib/msf/core/option_container.rb:199:in `each_pair'
[-]   /usr/share/metasploit-framework/lib/msf/core/option_container.rb:199:in `validate'","[*] Processing /root/INTERNAL/Scripts/AutoSploit/autosploit_out/2019-07-10_22h01m51s/130.245.135.19/auxiliary-fuzzers-ftp-client_ftp for ERB directives.
[*] Workspace '192.168.1.144' already existed, switching to it.
[*] Workspace: 192.168.1.144
[*] Running module against 130.245.135.19
[-] Auxiliary failed: NoMethodError undefined method `match' for {:check_empty=>false}:Hash
[-] Call stack:
[-]   /usr/share/metasploit-framework/lib/msf/core/opt_base.rb:118:in `valid?'
[-]   /usr/share/metasploit-framework/lib/msf/core/opt_string.rb:34:in `valid?'
[-]   /usr/share/metasploit-framework/lib/msf/core/option_container.rb:200:in `block in validate'
[-]   /usr/share/metasploit-framework/lib/msf/core/option_container.rb:199:in `each_pair'
[-]   /usr/share/metasploit-framework/lib/msf/core/option_container.rb:199:in `validate'
[*] Starting persistent handler(s)..."
